"Q1. What do you think the current population of [country] is?  By ‘population’, we mean all residents of [country] regardless of legal status or citizenship. Please give your answer to the nearest 1 million. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Median,44,24,11,200,35,18,1300,47,10,6,65,82,64,8,10,,250,8,60,120,30,120,0.65,17,5,31,100,38,147,7,5,52,50,45,10,25,70,80,300,90
Actual,43.42,24.25,11.27,207.85,35.85,18.19,"1,371.22",48.23,10.55,5.68,66.76,82.18,63.26,7.31,9.84,,257.56,8.38,60.80,126.96,30.33,119.53,0.62,16.94,5.24,31.38,100.98,38.42,144.10,7.10,5.54,54.96,50.62,46.42,9.92,23.51,67.96,78.74,321.42,91.70
Difference Median - Actual,1,0,0,-8,-1,0,-71,-1,-1,0,-2,0,1,1,0,,-8,0,-1,-7,0,0,0,0,0,0,-1,0,3,0,-1,-3,-1,-1,0,1,2,1,-21,-2
Percentage difference from actual,1,-1,-2,-4,-2,-1,-5,-3,-5,6,-3,0,1,10,2,,-3,-5,-1,-5,-1,0,5,0,-5,-1,-1,-1,2,-1,-10,-5,-1,-3,1,6,3,2,-7,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2. And what do you think the population of [country] is projected to be in 2050 by the United Nations? Please give your answer to the nearest 1 million.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Median,57,35,13,250,45,24,1400,60,11,7,72,85,75,10,8,,300,12,65,98,40,158,0.70,19,7,45,148,35,160,6,7,70,50,50,12,27,80,100,356,110
Actual,55.45,33.50,12.53,238.27,44.14,21.60,"1,348.06",54.93,9.97,6.30,71.14,74.51,75.36,8.15,8.32,,322.24,12.61,63.55,107.41,40.73,163.75,0.57,17.60,6.66,41.90,148.26,33.14,128.60,7.33,6.68,65.54,50.59,44.84,11.88,20.41,62.45,95.82,388.87,112.78
Difference Median - Actual,2,2,0,12,1,2,52,5,1,1,1,10,0,2,0,,-22,-1,1,-9,-1,-6,0,1,0,3,0,2,31,-1,0,4,-1,5,0,7,18,4,-33,-3
Percentage difference from actual,3,4,4,5,2,11,4,9,10,11,1,14,0,23,-4,,-7,-5,2,-9,-2,-4,22,8,5,7,0,6,24,-18,5,7,-1,12,1,32,28,4,-8,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q3. Out of every 100 people in [country], about how many do you think are Muslim?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,6,12,23,12,17,8,,7,3,15,31,21,15,10,6,28,80,23,20,6,68,8,24,19,12,5,23,7,24,13,25,22,7,14,17,7,16,81,17,6
Actual,1.0,2.4,7.0,<0.1,3.2,<0.1,,<0.1,<0.1,4.1,7.5,5.0,4.8,1.8,<0.1,14.2,87.2,18.6,3.7,0.2,63.7,<0.1,19.1,6.0,3.7,<0.1,5.5,<0.1,10.0,3.1,14.0,1.7,0.2,2.1,4.6,<0.1,4.9,98.0,1.0,0.2
Difference Mean - Actual,5,10,16,12,14,8,,7,3,11,24,16,11,8,6,14,-7,5,17,6,4,8,5,13,8,5,17,7,14,10,11,21,6,11,13,7,11,-17,16,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q4. Now thinking about 2020, out of every 100 people in [country], about how many do you think will be Muslim? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,France,Germany,United Kingdom,Hong Kong,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Montenegro,Netherlands,Norway,Peru,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,United States,Vietnam
Mean,10,21,32,18,27,12,,11,4,20,40,31,22,10,14,34,81,31,31,7,63,11,31,26,16,10,27,13,30,21,31,30,11,21,27,9,21,79,23,8
Actual,0.9,3.0,7.5,<0.1,2.8,<0.1,,<0.1,0.2,5.1,8.3,6.9,6.1,2.1,0.1,15.4,87.0,20.1,4.9,0.2,66.1,<0.1,20.3,6.9,4.9,0.9,5.7,<0.1,11.4,5.0,16.1,1.9,0.3,3.3,6.5,<0.1,6.0,98.0,1.1,<0.1
Difference Mean - Actual,10,18,24,18,24,12,,11,4,14,31,24,16,8,14,19,-6,11,26,6,-3,11,10,19,11,9,21,13,18,16,15,28,11,17,21,9,15,-19,21,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
